1,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,6,0
1,6,0
1,7,0
1,9,0
1,12,0
1,19,0
1,19,0
1,19,0
1,22,0
1,26,0
1,26,0
1,26,0
1,28,0
1,28,0
1,31,0
1,32,0
1,32,0
1,34,0
1,35,0
1,36,0
1,36,0
1,36,0
1,37,0
1,37,0
1,37,0
1,37,0
1,37,0
1,38,0
1,38,1
1,39,0
1,39,0
1,39,0
1,39,0
1,39,0
1,41,0
1,41,0
1,43,0
1,44,0
1,44,0
1,45,1
1,50,0
1,54,0
1,55,0
1,55,0
1,55,0
1,55,0
1,59,0
1,59,0
1,61,0
1,66,0
1,66,0
1,67,0
1,67,0
1,68,0
1,69,0
1,70,0
1,70,0
1,70,0
1,73,0
1,75,0
1,77,0
1,81,0
1,82,0
1,89,0
1,91,1
1,93,0
1,93,1
1,96,0
1,96,0
1,97,1
1,97,1
1,102,0
1,104,0
1,104,1
1,105,1
1,108,0
1,108,0
1,109,0
1,109,1
1,109,1
1,110,1
1,111,1
1,112,1
1,112,1
1,120,0
1,120,1
1,120,1
1,121,0
1,122,0
1,123,0
1,124,0
1,127,0
1,130,0
1,132,0
1,132,1
1,133,0
1,133,0
1,134,0
1,134,1
1,136,0
1,136,1
1,137,0
1,137,0
1,137,0
1,137,0
1,137,0
1,139,0
1,144,0
1,144,0
1,145,0
1,145,0
1,145,0
1,145,0
1,146,0
1,148,0
1,149,0
1,151,0
1,151,1
1,153,0
1,160,0
1,161,0
1,161,0
1,162,0
1,162,0
1,162,0
1,163,0
1,166,0
1,166,0
1,168,0
1,169,0
1,169,0
1,170,0
1,171,0
1,171,0
1,171,0
1,173,1
1,176,1
1,178,0
1,179,0
1,180,0
1,180,0
1,182,1
1,182,1
1,185,0
1,185,0
1,185,0
1,185,0
1,185,0
1,189,0
1,189,0
1,189,0
1,190,0
1,193,0
1,193,0
1,194,0
1,194,0
1,194,0
1,195,0
1,198,0
1,198,1
1,199,0
1,200,0
1,200,0
1,200,0
1,202,1
1,203,0
1,205,0
1,205,0
1,211,0
1,211,1
1,218,0
1,224,0
1,227,0
1,230,0
1,231,1
1,232,0
1,233,0
1,234,0
1,234,0
1,234,0
1,234,0
1,234,1
1,236,0
1,236,0
1,237,0
1,238,0
1,242,0
1,246,0
1,248,0
1,248,1
1,248,1
1,250,0
1,250,0
1,250,0
1,250,0
1,252,0
1,252,0
1,255,0
1,255,0
1,255,0
1,255,1
1,1,0
1,2,1
1,4,0
1,4,0
1,6,0
1,6,0
1,6,0
1,6,0
1,6,0
1,7,1
1,10,1
1,11,1
1,15,0
1,19,0
1,19,0
1,20,1
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,24,0
1,25,0
1,25,0
1,28,1
1,32,0
1,32,0
1,32,0
1,33,1
1,34,0
1,34,0
1,36,1
1,37,0
1,37,0
1,37,0
1,37,0
1,37,0
1,37,1
1,38,1
1,40,1
1,42,1
1,42,1
1,43,1
1,43,1
1,43,1
1,44,1
1,47,1
1,47,1
1,48,1
1,50,1
1,52,1
1,57,0
1,57,1
1,60,1
1,60,1
1,60,1
1,61,0
1,61,0
1,65,0
1,66,0
1,66,0
1,70,0
1,70,0
1,71,0
1,71,0
1,71,0
1,72,0
1,72,0
1,73,1
1,75,0
1,75,0
1,78,1
1,82,1
1,85,1
1,87,1
1,93,1
1,93,1
1,93,1
1,94,0
1,98,0
1,98,0
1,98,0
1,100,0
1,100,0
1,102,0
1,102,0
1,103,1
1,104,0
1,104,0
1,104,0
1,105,0
1,105,0
1,105,1
1,106,1
1,106,1
1,107,1
1,107,1
1,107,1
1,107,1
1,108,0
1,108,0
1,108,0
1,110,0
1,111,0
1,112,0
1,113,1
1,113,1
1,113,1
1,113,1
1,113,1
1,113,1
1,113,1
1,114,0
1,123,0
1,123,0
1,128,0
1,128,0
1,128,0
1,128,0
1,129,1
1,129,1
1,129,1
1,130,0
1,130,0
1,130,0
1,130,0
1,130,1
1,131,0
1,131,0
1,132,0
1,134,1
1,135,1
1,137,1
1,137,1
1,141,0
1,142,1
1,144,0
1,148,1
1,149,1
1,152,0
1,156,1
1,157,0
1,158,1
1,159,0
1,162,1
1,162,1
1,162,1
1,162,1
1,162,1
1,162,1
1,163,0
1,164,1
1,164,1
1,168,0
1,168,0
1,169,0
1,169,0
1,171,0
1,172,0
1,173,1
1,174,0
1,174,0
1,174,0
1,174,0
1,178,1
1,178,1
1,179,1
1,182,1
1,182,1
1,182,1
1,184,1
1,185,0
1,185,0
1,185,0
1,187,0
1,191,0
1,191,1
1,191,1
1,195,1
1,195,1
1,196,1
1,197,0
1,197,0
1,199,0
1,199,0
1,199,0
1,200,1
1,203,0
1,206,0
1,206,0
1,206,0
1,206,0
1,206,0
1,206,0
1,209,0
1,210,0
1,212,0
1,212,0
1,215,1
1,218,1
1,218,1
1,221,0
1,221,0
1,221,1
1,224,1
1,224,1
1,224,1
1,224,1
1,224,1
1,228,0
1,228,0
1,228,0
1,228,0
1,234,0
1,234,0
1,234,0
1,234,0
1,234,0
1,235,1
1,235,1
1,235,1
1,238,1
1,241,1
1,242,0
1,246,0
1,249,0
1,249,0
1,249,0
1,249,0
1,253,0
1,253,0
1,253,0
1,254,1
1,256,0
1,256,1
